ad,dogum_yeri,dogum_tarihi,yas,ilkokul,ilkokul_yillari,lise,lise_yillari,universite,universite_yillari,bolum,yuksek_lisans,yuksek_lisans_yillari,doktora,doktora_yillari,calistigi_kurumlar,calisma_yillari,kurdugu_girisim_ve_dernekler,girisim_kurulus_yillari,yasadigi_sehir,hobiler,es,cocuklar,akademik_yayinlar,yayin_yillari,dosya_adi,ilkokul_yillari_baslangic,ilkokul_yillari_bitis,lise_yillari_baslangic,lise_yillari_bitis,universite_yillari_baslangic,universite_yillari_bitis,yuksek_lisans_yillari_baslangic,yuksek_lisans_yillari_bitis,doktora_yillari_baslangic,doktora_yillari_bitis,calisma_yillari_baslangic,calisma_yillari_bitis
Burcu Özsoy,Ankara,15.07.1991,34,Çayyolu İlkokulu,1997-2005,Ankara Fen Lisesi,2005-2009,Hacettepe Üniversitesi,2009-2013,İstatistik Bölümü,Boğaziçi Üniversitesi,2015-2017,,None,"['Turkcell', 'Garanti BBVA', 'Papara']","['2013-2015', '2017-2020', '2020-devam ediyor']",[],[],İstanbul,"['gezginlik', 'doğa yürüyüşleri', 'kamp yapmak', 'fotoğrafçılık', 'dijital sanat', 'kitap okumak']",Caner Özsoy,['Ada Özsoy'],"[""Türkiye'deki Tüketici Harcamalarında Anormal Davranışların Tespitine Yönelik Makine Öğrenimi Yaklaşımları"", 'Fintech Sektöründe Kullanıcı Kaybını Önlemede Prediktif Analitik Modellerin Rolü']","['2017', '2019']",burcu_ozsoy.md,1997,2005,2005,2009,2009,2013,2015,2017,None,,['2013,"2015', '2017-2020', '2020-devam ediyor']"
Burhan Doğan,Balıkesir,15.07.1984,41,Balıkesir Cumhuriyet İlkokulu,1990-1995,Balıkesir Sırrı Yırcalı Anadolu Lisesi,1995-2002,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Bilgisayar Mühendisliği,Orta Doğu Teknik Üniversitesi (ODTÜ),2008-2010,Hacettepe Üniversitesi,2012-2016,"['ASELSAN', 'IBM Türkiye', 'SportAnalytica']","['2010-2014', '2014-2017', '2018-devam ediyor']",['SportAnalytica'],['2018'],İstanbul,"['uzun mesafe koşmak', 'amatör drone fotoğrafçılığı', 'satranç']",Ayşe Doğan,"['Elif Doğan', 'Can Doğan']","['Machine Learning Applications in Athlete Performance Prediction from Wearable Sensor Data', 'Optimizing Training Regimens for Endurance Sports using AI-Driven Feedback Loops', 'Real-time Biometric Data Analysis for Injury Prevention in Team Sports']","['2015', '2018', '2021']",burhan_dogan.md,1990,1995,1995,2002,2004,2008,2008,2010,2012,2016,['2010,"2014', '2014-2017', '2018-devam ediyor']"
Burhan Sezer,Bursa,05.07.1985,40,Bursa Ahmet Vefik Paşa İlkokulu,1991-1999,Bursa Anadolu Lisesi,1999-2003,Orta Doğu Teknik Üniversitesi,2003-2007,Endüstri Mühendisliği,İstanbul Teknik Üniversitesi,2008-2010,,None,"['Vestel', 'Arçelik', 'Turkcell']","['2007-2012', '2012-2016', '2016-2022']",['TechSpark Danışmanlık'],['2022'],İstanbul,"['dağcılık', 'amatör fotoğrafçılık', 'bilim kurgu romanları okumak', 'yeni teknolojiler hakkında araştırmalar yapmak']",Elif Sezer,"['Defne Sezer', 'Can Sezer']",['Endüstri 4.0 Dönüşümünde Proje Yönetimi Stratejileri'],['2011'],burhan_sezer.md,1991,1999,1999,2003,2003,2007,2008,2010,None,,['2007,"2012', '2012-2016', '2016-2022']"
Burhan Türkmen,Denizli,12.05.1987,38,Denizli Hacı Ahmet Örnek İlköğretim Okulu,1993-2001,Ankara Fen Lisesi,2002-2006,Bilkent Üniversitesi,2006-2010,İktisat,Boğaziçi Üniversitesi,2014-2016,,None,"['Akbank', 'Garanti BBVA', 'Trendyol']","['2010-2014', '2017-2020', '2020-devam ediyor']",[],[],İstanbul,"['klasik gitar çalmak', 'doğa yürüyüşleri yapmak', 'veri görselleştirme yarışmalarına katılmak', 'felsefe kitapları okumak']",Ayşe Türkmen,"['Ela', 'Can']","['Makroekonomik Verilerin Finansal Piyasa Tahminlerine Etkisi: Türkiye Örneği', 'Perakende Sektöründe Müşteri Segmentasyonu için Gelişmiş Kümeleme Algoritmaları']","['2015', '2022']",burhan_turkmen.md,1993,2001,2002,2006,2006,2010,2014,2016,None,,['2010,"2014', '2017-2020', '2020-devam ediyor']"
Büşra Sezer,Bursa,25.07.1989,36,Bursa Şehit Murat Temel İlkokulu,1995-2003,Bursa Anadolu Lisesi,2003-2007,Boğaziçi Üniversitesi,2008-2012,İşletme Bölümü,Koç Üniversitesi,2014-2016,,None,"['Deloitte Türkiye', 'Migros Ticaret A.Ş.', 'Akbank', 'Turkcell']","['2012-2014', '2016-2019', '2019-2023', '2023-devam ediyor']",[],[],İstanbul,"['yoga', 'doğa yürüyüşleri', 'belgesel izlemek', 'Türk Sanat Müziği dinlemek', 'organik sebze yetiştirmek']",Arda Demir,"['Defne Sezer Demir', 'Can Sezer Demir']","['Pandemi Sonrası Uzaktan Çalışma Modellerinde Çalışan Bağlılığı ve Verimlilik Üzerine Bir Araştırma', 'Kurumsal Sürdürülebilirlik Raporlamalarının İnsan Kaynakları Pratiklerine Etkisi: Bir Sektör Analizi']","['2016', '2022']",busra_sezer.md,1995,2003,2003,2007,2008,2012,2014,2016,None,,['2012,"2014', '2016-2019', '2019-2023', '2023-devam ediyor']"
Büşra Türkmen,İzmir,15.09.1986,39,İzmir Özel Türk Koleji,1993-2000,İzmir Fen Lisesi,2000-2004,Boğaziçi Üniversitesi,2003-2007,İletişim Tasarımı ve Yönetimi,İstanbul Üniversitesi,2008-2010,,None,"['Adwise Dijital Ajansı', 'Arçelik A.Ş.', 'Garanti BBVA', 'Serbest Danışmanlık']","['2010-2013', '2013-2016', '2017-2020', '2020-devam ediyor']","['Gezgin Kelimeler', 'Insightful Content Hub']","['2015', '2020']",İstanbul,"['seyahat fotoğrafçılığı', 'farklı mutfakları deneyimlemek', 'trekking', 'ebru sanatı']",Caner Öztürk,['Elif'],['Finansal Hizmetler Sektöründe Dijital İçerik Pazarlamasının Tüketici Davranışlarına Etkisi'],['2019'],busra_turkmen.md,1993,2000,2000,2004,2003,2007,2008,2010,None,,['2010,"2013', '2013-2016', '2017-2020', '2020-devam ediyor']"
Canan Kaya,Bursa,15.08.1987,38,Bursa Emirsultan İlköğretim Okulu,1993-2001,Bursa Milli Piyango Anadolu Lisesi,2001-2005,İstanbul Teknik Üniversitesi (İTÜ),2005-2009,Şehir ve Bölge Planlama Bölümü,Koç Üniversitesi,2010-2012,,None,"['KentVizyon Şehircilik ve Mimarlık Ofisi', 'Kültür ve Turizm Bakanlığı', 'Şehir Belleği Vakfı']","['2009-2010', '2012-2017', '2017-devam ediyor']",[],[],İstanbul,"['tarihi yapıların fotoğraflarını çekmek', 'seramik sanatı ile uğraşmak', 'bisiklet sürmek', 'mimari ve tarih üzerine podcast dinlemek']",Emre Demir,"['Ela', 'Can']","[""İstanbul'un Tarihi Yarımadası'ndaki Kentsel Dönüşüm Projelerinin Kültürel Miras Üzerindeki Etkileri"", ""Türkiye'de Koruma Amaçlı İmar Planlarının Uygulanmasındaki Zorluklar: Bursa Örneği""]","['2012', '2016']",canan_kaya.md,1993,2001,2001,2005,2005,2009,2010,2012,None,,['2009,"2010', '2012-2017', '2017-devam ediyor']"
Canan Yılmaz,Antalya,23.07.1983,42,Dr. Burhan Karagöz İlköğretim Okulu,1989-1994,Antalya Lisesi,1994-2001,Dokuz Eylül Üniversitesi,2001-2005,Şehir ve Bölge Planlama,Yıldız Teknik Üniversitesi,2005-2007,,None,"['T.C. Çevre ve Şehircilik Bakanlığı', 'UrbanPro Kentsel Gelişim Danışmanlık', 'serbest sürdürülebilirlik danışmanı']","['2007-2012', '2012-2018', '2019-devam ediyor']",['Yeşil Kentler İnisiyatifi Derneği'],['2018'],İstanbul,"['kent içi bisiklet turları', 'amatör kentsel peyzaj fotoğrafçılığı', 'permakültür prensiplerini denemek']",Emre Demir,"['Defne', 'Kerem']","['Sürdürülebilir Ulaşım Politikalarının Kentsel Yaşanabilirliğe Etkisi: İstanbul Örneği', 'Yeşil Altyapı ve Kent Dirençliliği İlişkisi']","['2015', '2019']",canan_yilmaz.md,1989,1994,1994,2001,2001,2005,2005,2007,None,,['2007,"2012', '2012-2018', '2019-devam ediyor']"
Cansu Acar,Adana,05.11.1989,36,Adana Çukurova İlköğretim Okulu,1996-2004,Adana İsmail Safa Özler Anadolu Lisesi,2004-2008,Boğaziçi Üniversitesi,2008-2012,Sosyoloji Bölümü,İstanbul Bilgi Üniversitesi,2012-2014,,None,"['Digital Age Dergisi', 'Marka İletişim Ajansı', 'Trendyol']","['2014-2016', '2016-2019', '2019-2022']",['Hikaye Fabrikası'],['2022-devam ediyor'],İstanbul,"['doğada vakit geçirmek', 'amatör fotoğrafçılık', 'antik kitapları koleksiyon yapmak', 'eski Türk filmlerini izlemek', 'farklı şehirlerin yemek kültürlerini keşfetmek']",Emre Yılmaz,"['Ela Yılmaz', 'Can Yılmaz']","['Dijital Çağda Tüketici Kimliği ve İçerik Tüketim Alışkanlıkları', 'Sosyal Medya Etkileşimlerinde Mizahın Rolü: Türkiye Örneği']","['2014', '2016']",cansu_acar.md,1996,2004,2004,2008,2008,2012,2012,2014,None,,['2014,"2016', '2016-2019', '2019-2022']"
Can Uçar,Bursa,15.07.1985,40,Bursa Osmangazi İlkokulu,1991-1996,Bursa Anadolu Lisesi,1996-2003,İstanbul Üniversitesi,2003-2007,Sanat Tarihi,Marmara Üniversitesi,2007-2009,İstanbul Üniversitesi,2009-2014,"['İstanbul Üniversitesi', 'Sadberk Hanım Müzesi', 'Pera Müzesi']","['2010-2014', '2015-2018', '2018-devam ediyor']",['Geçmişin İzleri Kültürel Miras Koruma Derneği'],['2019'],İstanbul,"['eski haritalar toplamak', 'Bizans dönemi el yazmalarını incelemek', 'analog fotoğrafçılık', 'tarihi semtleri keşfetmek', 'bisiklete binmek', 'yeni sergileri ziyaret etmek', 'klasik müzik dinlemek', 'sanat tarihi belgeselleri izlemek']",Elif Uçar,"['Ada Uçar', 'Alp Uçar']","[""Bizans Mozaik Sanatında Yenilikçi Yaklaşımlar ve İstanbul'daki Örnekleri"", ""Anadolu'nun Gizli Şapelleri: Erken Hristiyan Dönemi Fresklerinin Keşfi ve Koruma Sorunları"", 'Müzelerde Dijital Dönüşüm: Yeni Ziyaretçi Deneyimleri İçin Modeller', 'Kültürel Mirasın Sürdürülebilirliği ve Toplumsal Katılım']","['2013', '2016', '2019', '2021']",can_ucar.md,1991,1996,1996,2003,2003,2007,2007,2009,2009,2014,['2010,"2014', '2015-2018', '2018-devam ediyor']"
Cemre Özkan,Bursa,15.07.1989,36,Bursa Cumhuriyet İlkokulu,1995-2000,Bursa Anadolu Lisesi,2000-2007,Boğaziçi Üniversitesi,2007-2011,Sanat Tarihi,İstanbul Üniversitesi,2012-2014,,None,"['Topkapı Sarayı Müzesi', 'Pera Müzesi', 'Koç Holding', 'Ege Kültür Mirası Vakfı']","['2014-2016', '2016-2019', '2019-2021', '2021-devam ediyor']",['Anadolu Kültür Rotası Derneği'],['2022'],İzmir,"['kaligrafi', 'geleneksel Türk el sanatları araştırmak', 'doğa yürüyüşleri yapmak', 'eski haritalar toplamak']",Arda Yılmaz,"['Defne Yılmaz', 'Kerem Yılmaz']","[""Osmanlı'da Hat Sanatının Evrimi ve Günümüzdeki Yansımaları"", 'Dijital Müzecilikte Yeni Yaklaşımlar: Sanal Gerçeklik Uygulamalarının Müzeler Üzerindeki Etkisi']","['2015', '2018']",cemre_ozkan.md,1995,2000,2000,2007,2007,2011,2012,2014,None,,['2014,"2016', '2016-2019', '2019-2021', '2021-devam ediyor']"
Cem Şimşek,Adana,15.03.1985,40,Adana Atatürk İlkokulu,1991-1996,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2007-2011,Bilgisayar Mühendisliği,Bilkent Üniversitesi,2011-2013,Bilkent Üniversitesi,2013-2017,"['Bilkent Üniversitesi', 'Türk Telekom', 'KoçSistem', 'Özyeğin Üniversitesi']","['2011-2013', '2015-2018', '2018-2022', '2023-devam ediyor']",['EthicAI Consulting'],['2022'],İstanbul,"['doğa yürüyüşleri', 'amatör fotoğrafçılık', 'felsefe ve bilim kurgu kitapları okumak', 'satranç oynamak']",Ayşe Şimşek,"['Deniz', 'Can']","['Explainable AI for Fair Decision Making in Financial Systems', 'Bias Detection and Mitigation in Large Language Models']","['2016', '2017']",cem_simsek.md,1991,1996,2002,2006,2007,2011,2011,2013,2013,2017,['2011,"2013', '2015-2018', '2018-2022', '2023-devam ediyor']"
Ceren Yılmaz,İzmir,05.09.1990,35,İzmir Bornova İlköğretim Okulu,1996-2004,Bornova Anadolu Lisesi,2004-2008,Boğaziçi Üniversitesi,2008-2012,Bilgisayar Mühendisliği,Koç Üniversitesi,2012-2014,,None,"['Microsoft Türkiye', 'Garanti BBVA', 'EthiCon AI']","['2014-2016', '2016-2019', '2019-devam ediyor']","['EthiCon AI', 'Yapay Zeka Etiği Derneği']","['2019', '2020']",İstanbul,"['yoga', 'doğa yürüyüşleri', 'modern sanat galerilerini gezmek', 'bilim kurgu romanları okumak']",Emre Aksoy,['Ada'],"['Algorithmic Bias in Predictive Policing Systems: A Turkish Context Analysis', 'The Ethical Implications of Generative AI in Creative Industries: Copyright and Attribution Challenges']","['2019', '2022']",ceren_yilmaz.md,1996,2004,2004,2008,2008,2012,2012,2014,None,,['2014,"2016', '2016-2019', '2019-devam ediyor']"
Ceyda Doğan,İzmir,15.07.1989,36,İzmir Cumhuriyet İlkokulu,1996-2000,İzmir Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Şehir ve Bölge Planlama,İstanbul Teknik Üniversitesi (İTÜ),2010-2012,,None,"['İzmir Büyükşehir Belediyesi', 'Koç Holding', 'İstanbul Büyükşehir Belediyesi', 'Kente Nefes']","['2008-2010', '2013-2017', '2017-2020', '2020-devam ediyor']",['Kente Nefes'],['2020'],İstanbul,"['kent gezileri', 'fotoğrafçılık', 'eski Türk filmleri koleksiyonu', 'seramik sanatı']",Arda Yılmaz,"['Defne', 'Can']","['Sürdürülebilir Kentsel Dönüşümde Katılımcı Yaklaşımların Rolü', ""Geçmişin İzinde: İstanbul'un Endüstriyel Mirasının Korunması ve Yeniden İşlevlendirilmesi""]","['2012', '2019']",ceyda_dogan.md,1996,2000,2000,2004,2004,2008,2010,2012,None,,['2008,"2010', '2013-2017', '2017-2020', '2020-devam ediyor']"
Cihan Aktaş,Adana,15.07.1989,36,Adana Seyhan İlkokulu,1995-2000,Adana Anadolu Lisesi,2000-2007,Boğaziçi Üniversitesi,2008-2012,Bilgisayar Mühendisliği,Koç Üniversitesi,2013-2015,,None,"['IBM Türk', 'Obss', 'Getir', 'Trendyol', 'VeriLogica Yapay Zeka Çözümleri']","['2011-2011', '2012-2013', '2015-2018', '2018-2021', '2021-devam ediyor']",['VeriLogica Yapay Zeka Çözümleri'],['2021'],İstanbul,"['dijital fotoğrafçılık', 'robotik kitler toplayıp programlamak', 'doğa yürüyüşleri', 'strateji oyunları oynamak']",Elif Kara,"['Defne', 'Emre']","['Makine Öğrenimi Modellerinde Açıklanabilirlik ve Şeffaflık Üzerine Bir İnceleme', 'Derin Öğrenme ile Doğal Dil İşlemede Duygu Analizi Yöntemleri']","['2015', '2019']",cihan_aktas.md,1995,2000,2000,2007,2008,2012,2013,2015,None,,['2011,"2011', '2012-2013', '2015-2018', '2018-2021', '2021-devam ediyor']"
Derya Avcı,Denizli,15.08.1989,36,Denizli Atatürk İlkokulu,1995-2003,Denizli Kazım Kaynak Anadolu Lisesi,2003-2007,Hacettepe Üniversitesi,2007-2011,Bilgisayar Mühendisliği,İstanbul Üniversitesi,2013-2015,,None,"['Turkcell', 'Microsoft Türkiye']","['2011-2013', '2015-2019']",['Sosyal Veri Akademisi'],['2019'],İstanbul,"['Dijital fotoğrafçılık', 'Uzun mesafe koşusu', 'Yerel pazarları keşfetmek']",Caner Demirci,"['Ela', 'Arda']","['Büyük Veri Analitiği ile Kentsel Dönüşüm Trendlerinin Belirlenmesi', 'Eğitimde Yapay Zeka Destekli Kişiselleştirilmiş Öğrenme Yolları']","['2014', '2018']",derya_avci.md,1995,2003,2003,2007,2007,2011,2013,2015,None,,['2011,"2013', '2015-2019']"
Derya Çelik,Bursa,15.07.1989,36,Bursa Osmangazi İlkokulu,1995-2000,Bursa Feriha Mehmet Caner Anadolu Lisesi,2000-2007,İstanbul Teknik Üniversitesi (İTÜ),2005-2009,Bilgisayar Mühendisliği,Sabancı Üniversitesi,2009-2011,,None,"['Microsoft Türkiye', 'Türk Telekom', 'ING Bank', 'Trendyol']","['2011-2015', '2015-2018', '2018-2022', '2022-devam ediyor']",[],[],İstanbul,"['doğa fotoğrafçılığı', 'dijital resim teknikleri denemek', 'karmaşık satranç problemleri çözmek', 'yoga', 'yürüyüş']",Emre Yılmaz,"['Elif', 'Can']","['Big Data Analytics for Anomaly Detection in User Behavior', 'Microservices Architecture in Fintech: Challenges and Solutions']","['2011', '2020']",derya_celik.md,1995,2000,2000,2007,2005,2009,2009,2011,None,,['2011,"2015', '2015-2018', '2018-2022', '2022-devam ediyor']"
Doğukan Ermiş,Gaziantep,17.09.1987,38,Gaziantep İnönü İlkokulu,1993-2000,Gaziantep Anadolu Lisesi,2000-2004,Ege Üniversitesi,2004-2008,Halkla İlişkiler ve Tanıtım,Bilkent Üniversitesi,2009-2011,,None,"['Migros Türk T.A.Ş.', 'Arçelik A.Ş.', 'Publicis One Turkey']","['2008-2009', '2012-2016', '2016-2019']",['BrandCraft Dijital Ajans'],['2019'],İstanbul,"['amatör fotoğrafçılık', 'eski Türk filmleri koleksiyonu yapmak', 'yerel gastronomi turları düzenlemek']",Aylin Ermiş,"['Elif', 'Can']",['Dijital Çağda Marka Kimliği Dönüşümü'],['2020'],dogukan_ermis.md,1993,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2009', '2012-2016', '2016-2019']"
Duygu Ergin,Balıkesir,05.08.1989,36,Sırrı Yırcalı İlkokulu,1995-2000,Balıkesir Sırrı Yırcalı Anadolu Lisesi,2000-2007,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,İşletme,Koç Üniversitesi,2013-2015,,None,"['Hepsiburada', 'Türk Telekom', 'Coca-Cola İçecek', 'Yemeksepeti']","['2011-2013', '2015-2018', '2018-2022', '2022-devam ediyor']",[],[],İstanbul,"['yoga yapmak', 'modern sanat galerilerini gezmek', 'yeni sergiler keşfetmek', ""pazarlama ve teknoloji odaklı podcast'leri takip etmek"", 'yeni yemek tarifleri denemek', 'mutfakta vakit geçirmek']",Can Ergün,"['Zeynep', 'Emre']","['Dijital Pazarlamada Tüketici Davranışlarının Dönüşümü: Türkiye Örneği', ""Mobil Pazarlamada Hyper-Personalization: Türkiye'deki Fırsatlar""]","['2015', '2020']",duygu_ergin.md,1995,2000,2000,2007,2007,2011,2013,2015,None,,['2011,"2013', '2015-2018', '2018-2022', '2022-devam ediyor']"
Duygu Özkan,Adana,14.07.1988,37,İsmet İnönü İlkokulu,1994-2000,Adana Fen Lisesi,2000-2004,Ege Üniversitesi,2004-2008,Bilgisayar Mühendisliği,Hacettepe Üniversitesi,2009-2011,,None,"['Teknosa Genel Müdürlük', 'Türkiye İş Bankası', 'Pegasus Havayolları', 'Garanti BBVA', 'DocPulse', 'SağlıkNet Yazılım ve Danışmanlık A.Ş.']","['2008-2009', '2011-2013', '2013-2017', '2017-2020', '2020-2023', '2023-devam ediyor']",[],[],İstanbul,"['dijital fotoğrafçılık', 'piyano çalmak', 'veri görselleştirme', 'doğa yürüyüşleri']",Emre Demir,"['Defne Demir', 'Can Demir']","['Sağlık Sektöründe Büyük Veri Analitiğiyle Erken Teşhis Modellerinin Geliştirilmesi', 'Hastane Operasyonlarında Yapay Zeka Destekli Optimizasyon Algoritmaları']","['2019', '2022']",duygu_ozkan.md,1994,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2009', '2011-2013', '2013-2017', '2017-2020', '2020-2023', '2023-devam ediyor']"
Ebru Avcı,Kayseri,15.06.1988,37,Kayseri Melikgazi İlkokulu,1994-2002,Kayseri Fen Lisesi,2002-2006,Gazi Üniversitesi,2006-2010,Şehir ve Bölge Planlama,Orta Doğu Teknik Üniversitesi (ODTÜ),2010-2012,,None,"['Şehircilik Araştırmaları Vakfı (ŞAV)', 'Güneş Enerjisi Sistemleri A.Ş. (GESAŞ)', '""Yeşil Adımlar"" Sürdürülebilir Kent Danışmanlığı']","['2012-2015', '2015-2019', '2019-devam ediyor']",['Yeşil Adımlar'],['2019'],Ankara,"['dağ yürüyüşü', 'bitki fotoğrafçılığı', 'seramik sanatı']",Arda Yılmaz,"['Defne', 'Kerem']","['Kentsel Dönüşüm Projelerinde Yeşil Altyapı Entegrasyonu: Ankara Örneği', 'Yenilenebilir Enerji Kaynaklarının Kent Planlamasına Etkileri', 'Kurumsal Sürdürülebilirlik Raporlamalarında Şeffaflık ve Güvenilirlik']","['2012', '2017', '2021']",ebru_avci.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2012,"2015', '2015-2019', '2019-devam ediyor']"
Ebru Kurt,İstanbul,15.08.1990,35,Kadıköy Özel Bilim İlköğretim Okulu,1996-2004,İstanbul Fen Lisesi,2004-2008,Boğaziçi Üniversitesi,2008-2012,Mimarlık,Mimar Sinan Güzel Sanatlar Üniversitesi,2012-2014,,None,"['Emlak Konut GYO', 'Kiraç Mimarlık & Danışmanlık', 'Kent İçin Fikirler Kooperatifi']","['2014-2018', '2018-2022', '2022-devam ediyor']",['Kent İçin Fikirler Kooperatifi'],['2022'],İzmir,"['kentsel fotoğrafçılık', 'eski yapıların hikayelerini araştırmak', 'restorasyon projelerine gönüllü katılmak', 'doğa yürüyüşleri', 'yerel mutfakları keşfetmek']",Can Yılmaz,"['Ela Yılmaz', 'Derin Yılmaz']","['Kentsel Dönüşüm Projelerinde Halk Katılımının Rolü: İstanbul Örneği', 'Yeşil Altyapı ve Sürdürülebilir Şehirler']","['2015', '2018']",ebru_kurt.md,1996,2004,2004,2008,2008,2012,2012,2014,None,,['2014,"2018', '2018-2022', '2022-devam ediyor']"
Eda Altun,Ankara,05.09.1990,35,Mustafa Kemal İlkokulu,1996-2004,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Sosyoloji Bölümü,Boğaziçi Üniversitesi,2012-2014,,None,"['Arçelik', 'Turkcell', 'SAP Türkiye']","['2014-2016', '2016-2021', '2021-devam ediyor']",[],[],İstanbul,"['Yoga', 'Doğa yürüyüşleri', 'Analog fotoğrafçılık', 'Bilim kurgu romanları okumak', 'Yeni nesil teknolojiler hakkında araştırmalar yapmak']",Alp Deniz,"['Ela', 'Can']","['Sosyal Medya Verilerinde Duygu Analizi: Tüketici Algısının Belirlenmesi Üzerine Bir Çalışma', 'Telco Verileri ile Müşteri Kayıp Tahmini: LSTM Tabanlı Bir Yaklaşım']","['2015', '2019']",eda_altun.md,1996,2004,2002,2006,2007,2011,2012,2014,None,,['2014,"2016', '2016-2021', '2021-devam ediyor']"
Ekin Eren,Adana,15.08.1983,42,Adana Cumhuriyet İlkokulu,1989-1994,İzmir Bornova Anadolu Lisesi,1997-2001,Ege Üniversitesi,2001-2005,Radyo Televizyon ve Sinema Bölümü,Marmara Üniversitesi,2006-2008,,None,"['CNN Türk', 'NTV', 'Ekinoksa Yapım']","['2005-2005', '2005-2009', '2009-devam ediyor']",['Ekinoksa Yapım'],['2009'],İstanbul,"['doğa yürüyüşleri', 'klasik müzik dinlemek', 'fotoğrafçılık', 'bisiklete binmek', 'sanat galerilerini ziyaret etmek']",Defne Aslan,"['Doruk Eren', 'Zeynep Eren']","['Sessiz Çığlık: Doğa Katliamları', 'Gölgedeki Sesler: Kadınların Hayat Hikayeleri', 'Dijital Kölelik: Veri Mahremiyeti ve Gelecek', ""Tohumun Sırrı: Anadolu'nun Kadim Mirası""]","['2012', '2015', '2018', '2021']",ekin_eren.md,1989,1994,1997,2001,2001,2005,2006,2008,None,,['2005,"2005', '2005-2009', '2009-devam ediyor']"
Ekin Kara,Bursa,15.08.1987,38,Bursa Ulubatlı Hasan İlköğretim Okulu,1993-2001,Bursa Cumhuriyet Lisesi,2001-2005,İstanbul Teknik Üniversitesi (İTÜ),2005-2009,Mimarlık Bölümü,Mimar Sinan Güzel Sanatlar Üniversitesi,2010-2012,,None,"['Tabanlıoğlu Mimarlık', 'İstanbul Büyükşehir Belediyesi Kentsel Planlama Müdürlüğü']","['2009-2013', '2013-2018']",['Yeşil Kent Tasarım Atölyesi'],['2018'],İstanbul,"['seramik yapımı', 'tarihi yapıları fotoğraflama', 'kentsel bostan projelerinde gönüllülük', 'doğal ve tarihi güzellikleri keşfetme']",Levent Demir,"['Elif', 'Can']","['Kentsel Dönüşümde Yeşil Alan Entegrasyonu', ""Tarihi Yarımada'da Sürdürülebilir Turizm ve Mekansal Planlama""]","['2012', '2016']",ekin_kara.md,1993,2001,2001,2005,2005,2009,2010,2012,None,,['2009,"2013', '2013-2018']"
